id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,detailed-label
35.0,54714,14216.0,6667,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,1.0,2
45.0,46732,12916.0,50,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,0.0,2
38.0,54580,14252.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
36.0,39182,21677.0,23,1,0,3.090511,0,0,0,99,99,0,5.0,3,180,0,0,1.0,0
45.0,46256,12916.0,50,1,0,3.144461,0,0,0,99,99,0,5.0,3,180,0,0,0.0,2
38.0,41161,8937.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,37871,11143.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,25542,22597.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
36.0,43632,15003.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,1.0,0
38.0,41161,4719.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,25542,8262.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
35.0,53668,14216.0,6667,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,1.0,2
36.0,52218,6721.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,1.0,0
38.0,25542,25818.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,13486,10408.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,10914,1103.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,24104,6309.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,41161,23388.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,24104,25922.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
36.0,40158,15916.0,23,1,0,3.116481,0,0,0,99,99,0,5.0,3,180,0,0,1.0,0
38.0,29360,13275.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,55288,7640.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,28704,26667.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,41161,9483.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
36.0,36400,27000.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,1.0,0
38.0,29360,11819.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
36.0,59190,6831.0,23,1,0,3.089988,0,0,0,99,99,0,5.0,3,180,0,0,1.0,0
36.0,54030,7772.0,23,1,0,3.148977,0,0,0,99,99,0,5.0,3,180,0,0,1.0,0
38.0,29360,29080.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
36.0,47614,5340.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,1.0,0
38.0,41161,4247.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,52458,25924.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,28704,24081.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
35.0,56882,14216.0,6667,1,0,3.143709,0,0,0,99,99,0,5.0,3,180,0,0,1.0,2
38.0,52989,15859.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,50708,321.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,54580,14406.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,41161,22015.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,55288,5219.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
36.0,52634,4088.0,23,1,0,3.092242,0,0,0,99,99,0,5.0,3,180,0,0,1.0,0
38.0,32751,3864.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
36.0,36232,787.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,1.0,0
36.0,55002,6192.0,23,1,0,3.127201,0,0,0,99,99,0,5.0,3,180,0,0,1.0,0
45.0,37740,4561.0,50,1,0,3.103981,0,0,0,99,99,0,5.0,3,180,0,0,0.0,2
45.0,46264,12916.0,50,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,0.0,2
36.0,41670,19041.0,23,1,0,3.116232,0,0,0,99,99,0,5.0,3,180,0,0,1.0,0
45.0,44140,12916.0,50,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,0.0,2
38.0,13486,3440.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
45.0,37256,4561.0,50,1,0,3.142711,0,0,0,99,99,0,5.0,3,180,0,0,0.0,2
38.0,54580,5281.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
35.0,50332,14216.0,6667,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,1.0,2
45.0,47232,12916.0,50,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,0.0,2
38.0,50708,21893.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
36.0,37316,18261.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,1.0,0
36.0,56710,8249.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,1.0,0
36.0,48508,30603.0,23,1,0,3.144497,0,0,0,99,99,0,5.0,3,180,0,0,1.0,0
38.0,50548,6945.0,45,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,1.0,2
38.0,25542,24326.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,10803,5187.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
36.0,48550,29708.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,1.0,0
38.0,10803,7520.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,36922,638.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,25542,2551.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
48.0,28845,22001.0,53,2,0,99.0,99,99,0,99,99,0,1.0,1,540,0,0,2.0,0
42.0,43763,12249.0,23084,2,0,99.0,99,99,0,99,99,0,1.0,1,40,0,0,0.0,0
33.0,52370,5630.0,4554,1,0,3.125975,0,0,0,99,99,0,5.0,6,360,0,0,1.0,2
38.0,29360,26431.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
36.0,55360,30888.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,1.0,0
38.0,32751,11045.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,24104,13862.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,24104,13138.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
37.0,43746,18913.0,8080,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
36.0,42808,16231.0,23,1,0,3.093732,0,0,0,99,99,0,5.0,3,180,0,0,1.0,0
38.0,37871,15410.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
45.0,46224,12916.0,50,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,0.0,2
38.0,54580,27575.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,13486,22228.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,10914,24569.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,10914,21899.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,55288,30024.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,37871,8103.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,32751,22615.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,29360,13248.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,54580,7218.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,36922,30543.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
36.0,35748,25452.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,1.0,0
35.0,56794,14216.0,6667,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,1.0,2
38.0,55288,6650.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
36.0,32996,29257.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,1.0,0
38.0,29360,10824.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,29360,17463.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
36.0,49926,12635.0,23,1,0,3.122712,0,0,0,99,99,0,5.0,3,180,0,0,1.0,0
38.0,36922,25721.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
34.0,51962,30468.0,6667,1,6,0.059218,16,65,7,99,99,0,23.0,4,232,4,269,1.0,2
37.0,43746,24418.0,8080,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
36.0,42764,15465.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,1.0,0
36.0,59328,1321.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,1.0,0
36.0,52014,454.0,23,1,0,3.120969,0,0,0,99,99,0,5.0,3,180,0,0,1.0,0
35.0,52396,14216.0,6667,1,6,1.049908,75,243,3,99,99,0,30.0,7,447,6,563,1.0,2
36.0,58890,21211.0,23,1,0,3.118222,0,0,0,99,99,0,5.0,3,180,0,0,1.0,0
38.0,10914,5487.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,28704,4948.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
35.0,52026,14216.0,6667,1,0,3.15996,0,0,0,99,99,0,5.0,3,180,0,0,1.0,2
35.0,51514,14216.0,6667,1,0,3.115703,0,0,0,99,99,0,5.0,3,180,0,0,1.0,2
38.0,50708,1390.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
45.0,44860,12916.0,50,1,0,3.147942,0,0,0,99,99,0,5.0,3,180,0,0,0.0,2
45.0,45744,12916.0,50,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,0.0,2
38.0,29360,8737.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,10803,27298.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,41161,22316.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
36.0,51226,11715.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,1.0,0
38.0,52458,9307.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
36.0,39442,5453.0,23,1,0,3.145449,0,0,0,99,99,0,5.0,3,180,0,0,1.0,0
35.0,50456,14216.0,6667,1,0,3.147455,0,0,0,99,99,0,5.0,3,180,0,0,1.0,2
38.0,13486,22870.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,13486,22467.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
36.0,42262,17003.0,23,1,0,3.144727,0,0,0,99,99,0,5.0,3,180,0,0,1.0,0
38.0,52989,11305.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
45.0,46088,12916.0,50,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,0.0,2
38.0,24104,20324.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,54580,8617.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,36922,29923.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
37.0,43746,18690.0,8080,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,41161,19192.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,24104,3475.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
35.0,56226,14216.0,6667,1,0,3.108731,0,0,0,99,99,0,5.0,3,180,0,0,1.0,2
36.0,48546,9512.0,23,1,0,3.109235,0,0,0,99,99,0,5.0,3,180,0,0,1.0,0
37.0,43746,19315.0,8080,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,50708,191.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
36.0,53928,27925.0,23,1,0,3.0895,0,0,0,99,99,0,5.0,2,120,0,0,1.0,0
38.0,49236,6945.0,45,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,1.0,2
36.0,48738,20488.0,23,1,0,3.118476,0,0,0,99,99,0,5.0,3,180,0,0,1.0,0
38.0,50730,6945.0,45,1,0,3.14874,0,0,0,99,99,0,5.0,3,180,0,0,1.0,2
38.0,41161,20622.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,13486,3869.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,25542,24713.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,37871,23924.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
36.0,44740,2078.0,23,1,0,3.118996,0,0,0,99,99,0,5.0,3,180,0,0,1.0,0
38.0,52458,11312.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
45.0,36644,4561.0,50,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,0.0,2
36.0,50336,12749.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,1.0,0
38.0,52458,16019.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
35.0,55910,14216.0,6667,1,0,3.09598,0,0,0,99,99,0,5.0,3,180,0,0,1.0,2
45.0,46040,12916.0,50,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,0.0,2
38.0,50708,14565.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
34.0,46502,30128.0,6667,1,6,10.04827,70,448,4,99,99,0,20.0,13,762,11,1028,1.0,2
36.0,46312,1115.0,23,1,0,3.113484,0,0,0,99,99,0,5.0,3,180,0,0,1.0,0
36.0,60920,21137.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,60,0,0,1.0,0
38.0,54580,16241.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
35.0,56984,14216.0,6667,1,6,34.002416,62,269,3,99,99,0,30.0,9,546,6,589,1.0,2
38.0,28704,26414.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,24104,14645.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,52989,16759.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,28704,13443.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
36.0,35736,8333.0,23,1,0,3.109745,0,0,0,99,99,0,5.0,3,180,0,0,1.0,0
38.0,28704,11047.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
38.0,41161,11741.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
36.0,47336,829.0,23,1,0,3.147744,0,0,0,99,99,0,5.0,3,180,0,0,1.0,0
38.0,36922,12204.0,23,1,0,99.0,99,99,0,99,99,0,5.0,1,40,0,0,1.0,0
