id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,detailed-label
3.0,50708,206.0,23,1,0,99.0,99,99,0,99,99,0,2.0,1,40,0,0,1.0,0
3.0,25542,202.0,23,1,0,99.0,99,99,0,99,99,0,2.0,1,40,0,0,1.0,0
3.0,41161,70.0,23,1,0,99.0,99,99,0,99,99,0,2.0,1,40,0,0,1.0,0
1.0,45638,210.0,23,1,0,99.0,99,99,0,99,99,0,2.0,1,60,0,0,1.0,0
2.0,43746,124.0,8080,1,0,99.0,99,99,0,99,99,0,2.0,1,40,0,0,1.0,0
1.0,52732,48.0,23,1,0,3.105229,0,0,0,99,99,0,2.0,3,180,0,0,1.0,0
3.0,10914,76.0,23,1,0,99.0,99,99,0,99,99,0,2.0,1,40,0,0,1.0,0
3.0,50708,61.0,23,1,0,99.0,99,99,0,99,99,0,2.0,1,40,0,0,1.0,0
3.0,52989,111.0,23,1,0,99.0,99,99,0,99,99,0,2.0,1,40,0,0,1.0,0
4.0,59228,163.0,80,1,3,1.590348,149,141272,4,99,99,2896,7.0,102,6781,101,146532,1.0,3
1.0,59580,13.0,23,1,0,3.125507,0,0,0,99,99,0,2.0,3,180,0,0,1.0,0
3.0,52458,180.0,23,1,0,99.0,99,99,0,99,99,0,2.0,1,40,0,0,1.0,0
1.0,49506,20.0,23,1,0,99.0,99,99,0,99,99,0,2.0,1,60,0,0,1.0,0
3.0,52989,148.0,23,1,0,99.0,99,99,0,99,99,0,2.0,1,40,0,0,1.0,0
3.0,37871,30.0,23,1,0,99.0,99,99,0,99,99,0,2.0,1,40,0,0,1.0,0
3.0,55288,74.0,23,1,0,99.0,99,99,0,99,99,0,2.0,1,40,0,0,1.0,0
2.0,51664,87.0,80,1,3,0.653163,87,76398,4,99,99,0,7.0,114,8094,112,158636,1.0,3
1.0,59944,4.0,80,1,3,0.805283,149,88798,4,99,99,0,5.0,65,3693,65,92186,1.0,3
3.0,36934,39.0,80,1,3,0.761313,157,54305,4,99,99,4344,5.0,41,2381,40,56393,1.0,3
2.0,43746,119.0,8080,1,0,99.0,99,99,0,99,99,0,2.0,1,40,0,0,1.0,0
3.0,52458,178.0,23,1,0,99.0,99,99,0,99,99,0,2.0,1,40,0,0,1.0,0
3.0,41161,77.0,23,1,0,99.0,99,99,0,99,99,0,2.0,1,40,0,0,1.0,0
5.0,43763,139.0,22716,2,0,99.0,99,99,0,99,99,0,1.0,1,40,0,0,0.0,0
0.0,50178,33.0,4554,1,0,26347.422164,11,4413,1,99,99,0,3.0,1796,93758,1792,102154,1.0,3
1.0,59938,4.0,80,1,3,1.40745,149,119443,4,99,99,0,7.0,87,5761,86,123923,1.0,3
3.0,25542,179.0,23,1,0,99.0,99,99,0,99,99,0,2.0,1,40,0,0,1.0,0
3.0,37871,91.0,23,1,0,99.0,99,99,0,99,99,0,2.0,1,40,0,0,1.0,0
3.0,36922,181.0,23,1,0,99.0,99,99,0,99,99,0,2.0,1,40,0,0,1.0,0
3.0,50708,208.0,23,1,0,99.0,99,99,0,99,99,0,2.0,1,40,0,0,1.0,0
3.0,52989,205.0,23,1,0,99.0,99,99,0,99,99,0,2.0,1,40,0,0,1.0,0
3.0,29360,195.0,23,1,0,99.0,99,99,0,99,99,0,2.0,1,40,0,0,1.0,0
3.0,28704,169.0,23,1,0,99.0,99,99,0,99,99,0,2.0,1,40,0,0,1.0,0
3.0,52989,171.0,23,1,0,99.0,99,99,0,99,99,0,2.0,1,40,0,0,1.0,0
3.0,28704,136.0,23,1,0,99.0,99,99,0,99,99,0,2.0,1,40,0,0,1.0,0
3.0,36956,39.0,80,1,3,1.874917,91,71378,4,99,99,15928,7.0,53,3107,52,74090,1.0,3
4.0,59240,163.0,80,1,3,1.531888,149,139570,4,99,99,10136,7.0,100,6581,99,144726,1.0,3
3.0,50708,116.0,23,1,0,99.0,99,99,0,99,99,0,2.0,1,40,0,0,1.0,0
