id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,detailed-label
37.0,37871,24256.0,23,1,0,99.0,99,99,0,99,99,0,6.0,1,40,0,0,1.0,0
37.0,55288,11088.0,23,1,0,99.0,99,99,0,99,99,0,6.0,1,40,0,0,1.0,0
37.0,37871,9435.0,23,1,0,99.0,99,99,0,99,99,0,6.0,1,40,0,0,1.0,0
37.0,52989,17532.0,23,1,0,99.0,99,99,0,99,99,0,6.0,1,40,0,0,1.0,0
37.0,52989,23882.0,23,1,0,99.0,99,99,0,99,99,0,6.0,1,40,0,0,1.0,0
35.0,40656,21191.0,23,1,0,3.142688,0,0,0,99,99,0,6.0,3,180,0,0,1.0,0
37.0,54580,12723.0,23,1,0,99.0,99,99,0,99,99,0,6.0,1,40,0,0,1.0,0
33.0,54680,14173.0,22,1,0,0.107917,1474,375,4,99,99,0,15.0,8,1814,6,627,1.0,1
37.0,55288,7524.0,23,1,0,99.0,99,99,0,99,99,0,6.0,1,40,0,0,1.0,0
35.0,51692,9449.0,23,1,0,3.094003,0,0,0,99,99,0,6.0,3,180,0,0,1.0,0
35.0,41806,2088.0,23,1,0,3.159704,0,0,0,99,99,0,6.0,3,180,0,0,1.0,0
37.0,10803,457.0,23,1,0,99.0,99,99,0,99,99,0,6.0,1,40,0,0,1.0,0
37.0,37871,2871.0,23,1,0,99.0,99,99,0,99,99,0,6.0,1,40,0,0,1.0,0
37.0,50708,174.0,23,1,0,99.0,99,99,0,99,99,0,6.0,1,40,0,0,1.0,0
37.0,13486,27962.0,23,1,0,99.0,99,99,0,99,99,0,6.0,1,40,0,0,1.0,0
37.0,10914,16637.0,23,1,0,99.0,99,99,0,99,99,0,6.0,1,40,0,0,1.0,0
38.0,55590,15845.0,23,1,0,0.153931,0,0,5,99,99,0,67.0,2,120,2,80,1.0,1
38.0,51778,28726.0,23,1,0,0.036968,0,0,5,99,99,0,67.0,2,120,2,80,1.0,1
45.0,38913,17344.0,22,1,4,4.548503,589,2225,4,99,99,0,44.0,15,1377,16,3065,0.0,1
37.0,55288,16953.0,23,1,0,99.0,99,99,0,99,99,0,6.0,1,40,0,0,1.0,0
35.0,60734,29095.0,23,1,0,3.115262,0,0,0,99,99,0,6.0,3,180,0,0,1.0,0
37.0,10914,10956.0,23,1,0,99.0,99,99,0,99,99,0,6.0,1,40,0,0,1.0,0
45.0,35866,13674.0,22,1,4,4.087452,605,2599,4,99,99,0,44.0,14,1341,16,3439,0.0,1
